startup_name,sector,subvertical,city,investors,investment_type,amount_usd,date,source_period,year,sector_clean
DriveEdge,Realestate,PropTech,Noida,Elevation Capital,Seed,239000.0,2021-06-27,recent_2020_2025,2021,Real Estate
FoodFit,Agritech,Marketplace,Mumbai,Omidyar Network,Series B,38525000.0,2023-03-30,recent_2020_2025,2023,Agritech
SkillFlow_806,Retail,Fashion,Kolkata,Ribbit Capital,Pre-Series A,860000.0,2021-12-12,recent_2020_2025,2021,Retail
Oyo,Mobility,EV,Chennai,Kalaari Capital,Series B,65083000.0,2021-10-03,recent_2020_2025,2021,Mobility
AutoStack,Consumer Electronics,Smart Home,Noida,"A91 Partners, IFC, Kedaara Capital",Seed,264000.0,2020-02-08,recent_2020_2025,2020,Consumer Electronics
Meesho,Realestate,Rental Tech,Kolkata,"IFC, Zodius Capital",Seed,76000.0,2023-07-30,recent_2020_2025,2023,Real Estate
DriveEdge,Media,Streaming,Bengaluru,Nexus Venture Partners,Series A,14397000.0,2022-01-16,recent_2020_2025,2022,Media
Delhivery,Enterprise,Security,Chennai,Ribbit Capital,Seed,1104000.0,2024-08-27,recent_2020_2025,2024,Enterprise
Flipkart,Logistics,Supply Chain,Delhi,Kalaari Capital,Seed,79000.0,2023-05-16,recent_2020_2025,2023,Logistics
Porter,Healthtech,Diagnostics,Bengaluru,Mirae Asset,Seed,1494000.0,2024-08-21,recent_2020_2025,2024,Healthtech
DriveEdge,Fintech,Lending,Delhi,Bessemer Venture Partners,Seed,1238000.0,2020-02-29,recent_2020_2025,2020,Fintech
QuantumSolutions,Healthtech,Telemedicine,Kolkata,SoftBank Vision Fund,Series C,81514000.0,2020-04-23,recent_2020_2025,2020,Healthtech
Delhivery,Enterprise,Analytics,Chennai,"Kalaari Capital, LCatterton, Zodius Capital",Angel,29000.0,2023-10-07,recent_2020_2025,2023,Enterprise
FinSense,Agritech,Marketplace,Noida,"Peak XV, Zodius Capital",Angel,17000.0,2022-12-04,recent_2020_2025,2022,Agritech
AutoStack,E-Commerce,Marketplace,Ahmedabad,SoftBank Vision Fund,Seed,61000.0,2024-07-10,recent_2020_2025,2024,Ecommerce
UrbanDrive,Media,Social,Chennai,Lightspeed India,Seed,172000.0,2020-08-06,recent_2020_2025,2020,Media
SkillSolutions,Logistics,Fleet Management,Bengaluru,"Info Edge, Peak XV, SoftBank Vision Fund",Series A,8795000.0,2022-02-06,recent_2020_2025,2022,Logistics
LogiMart,Retail,E-Retail,Pune,Sequoia Capital India,Series A,1013000.0,2022-01-23,recent_2020_2025,2022,Retail
GreenMart,Realestate,PropTech,Gurugram,Ribbit Capital,Seed,171000.0,2022-02-26,recent_2020_2025,2022,Real Estate
ShareChat,Retail,Fashion,Mumbai,"Kalaari Capital, LCatterton",Series A,2940000.0,2021-04-29,recent_2020_2025,2021,Retail
DriveFit,Logistics,Supply Chain,Mumbai,Elevation Capital,Angel,25000.0,2024-03-29,recent_2020_2025,2024,Logistics
BharatPe,Consumer Electronics,Smart Home,Pune,"IFC, Kalaari Capital, Sequoia Capital India",Growth,566555000.0,2024-04-19,recent_2020_2025,2024,Consumer Electronics
NeoLabs,Foodtech,Food Delivery,Chennai,Zodius Capital,Growth,124717000.0,2024-08-06,recent_2020_2025,2024,Foodtech
Swiggy,Mobility,Ride Sharing,Pune,"Info Edge, Ventures India",Pre-Series A,222000.0,2024-02-02,recent_2020_2025,2024,Mobility
ClearTax,Retail,E-Retail,Delhi,"Kalaari Capital, Nexus Venture Partners, Ribbit Capital",Series B,38638000.0,2024-06-08,recent_2020_2025,2024,Retail
HyperLabs,E-Commerce,Marketplace,Gurugram,"IFC, Prosus Ventures, Ventures India",Series A,3403000.0,2025-06-08,recent_2020_2025,2025,Ecommerce
FoodLoop,Enterprise,Automation,Delhi,"Bessemer Venture Partners, Zodius Capital",Seed,114000.0,2023-11-08,recent_2020_2025,2023,Enterprise
BlueRise,Saas,DevTools,Chennai,"Lightspeed India, Peak XV",Growth,165015000.0,2025-04-18,recent_2020_2025,2025,SaaS
HomeFoods,Consumer Electronics,Audio,Hyderabad,Kalaari Capital,Series B,7389000.0,2020-12-11,recent_2020_2025,2020,Consumer Electronics
DriveLoop,Healthtech,Telemedicine,Pune,Sequoia Capital India,Seed,96000.0,2023-03-07,recent_2020_2025,2023,Healthtech
DriveEdge,Consumer Electronics,Smart Home,Kolkata,Blume Ventures,Seed,314000.0,2024-01-01,recent_2020_2025,2024,Consumer Electronics
NextStack,Consumer Electronics,Wearables,Delhi,"Lightspeed India, Zodius Capital",Series A,3110000.0,2021-02-27,recent_2020_2025,2021,Consumer Electronics
FinFoods,Foodtech,Cloud Kitchen,Bengaluru,Ribbit Capital,Seed,1461000.0,2021-06-20,recent_2020_2025,2021,Foodtech
LogiMart,Realestate,Rental Tech,Kolkata,IFC,Seed,190000.0,2022-08-18,recent_2020_2025,2022,Real Estate
AutoMart,Media,Content,Chennai,Accel,Series B,25007000.0,2021-06-08,recent_2020_2025,2021,Media
HealthWorks_839,Edtech,Coding Bootcamp,Pune,"Omidyar Network, Tiger Global Management, Ventures India",Debt,5087000.0,2025-04-07,recent_2020_2025,2025,Edtech
FarmFit_840,Mobility,Micro Mobility,Chennai,"A91 Partners, Tiger Global Management, Y Combinator",Seed,52000.0,2022-03-19,recent_2020_2025,2022,Mobility
EduTech,Mobility,EV,Pune,SoftBank Vision Fund,Growth,288051000.0,2020-09-27,recent_2020_2025,2020,Mobility
Paytm,Healthtech,Pharmacy,Mumbai,Mirae Asset,Seed,96000.0,2025-06-27,recent_2020_2025,2025,Healthtech
QuantumSolutions,Foodtech,Food Delivery,Hyderabad,Falcon Edge,Series A,13499000.0,2024-04-08,recent_2020_2025,2024,Foodtech
DriveEdge,Saas,MarTech,Delhi,"Blume Ventures, Info Edge, Ribbit Capital",Series A,1496000.0,2025-03-05,recent_2020_2025,2025,SaaS
Udaan,Edtech,K12,Bengaluru,"LCatterton, Mirae Asset, Nexus Venture Partners",Series A,3074000.0,2020-11-30,recent_2020_2025,2020,Edtech
NimbusLabs_846,Saas,MarTech,Kolkata,"Accel, IFC, Nexus Venture Partners",Series A,1260000.0,2024-09-28,recent_2020_2025,2024,SaaS
HealthAnalytics,Healthtech,Pharmacy,Ahmedabad,Omidyar Network,Angel,99000.0,2023-04-14,recent_2020_2025,2023,Healthtech
MediHive,Agritech,Supply Chain,Chennai,"LCatterton, Prosus Ventures",Angel,23000.0,2021-05-19,recent_2020_2025,2021,Agritech
GrowthFlow,Realestate,PropTech,Chennai,Zodius Capital,Pre-Series A,394000.0,2025-03-17,recent_2020_2025,2025,Real Estate
HyperLoop_850,Consumer Electronics,Smart Home,Kolkata,Omidyar Network,Series A,1199000.0,2025-05-10,recent_2020_2025,2025,Consumer Electronics
MediHive,Fintech,NeoBank,Kolkata,"Bessemer Venture Partners, LCatterton, Nexus Venture Partners",Seed,795000.0,2024-02-07,recent_2020_2025,2024,Fintech
Postman,Retail,Fashion,Hyderabad,"Peak XV, Tiger Global, Y Combinator",Seed,108000.0,2020-04-23,recent_2020_2025,2020,Retail
FoodFit,Edtech,Coding Bootcamp,Mumbai,Kalaari Capital,Pre-Seed,158000.0,2021-03-02,recent_2020_2025,2021,Edtech
CoreConnect,Retail,Fashion,Delhi,"LCatterton, Ventures India",Seed,107000.0,2022-10-02,recent_2020_2025,2022,Retail
LogiSense,E-Commerce,D2C,Noida,"A91 Partners, Mirae Asset",Seed,101000.0,2022-07-01,recent_2020_2025,2022,Ecommerce
Innovaccer,E-Commerce,Fashion,Pune,"Info Edge, SoftBank Vision Fund, Tiger Global",Series A,1104000.0,2022-06-08,recent_2020_2025,2022,Ecommerce
SmartMart,Realestate,Rental Tech,Delhi,"Accel, Mirae Asset, Ribbit Capital",Angel,21000.0,2022-12-15,recent_2020_2025,2022,Real Estate
HealthRise,Consumer Electronics,Wearables,Delhi,Zodius Capital,Debt,3346000.0,2023-11-02,recent_2020_2025,2023,Consumer Electronics
DriveLoop,Fintech,NeoBank,Mumbai,Falcon Edge,Angel,6000.0,2022-11-17,recent_2020_2025,2022,Fintech
Flipkart,E-Commerce,Fashion,Ahmedabad,Omidyar Network,Series C,163351000.0,2021-12-28,recent_2020_2025,2021,Ecommerce
AeroAnalytics_861,Media,Streaming,Kolkata,"Kalaari Capital, Tiger Global",Seed,266000.0,2021-01-08,recent_2020_2025,2021,Media
Delhivery,Saas,MarTech,Kolkata,Tiger Global Management,Series A,4137000.0,2021-06-26,recent_2020_2025,2021,SaaS
DataEdge,E-Commerce,Grocery,Hyderabad,"Falcon Edge, Sequoia Capital India",Growth,160008000.0,2020-08-05,recent_2020_2025,2020,Ecommerce
Porter,Fintech,Lending,Kolkata,"Mirae Asset, Omidyar Network, Tiger Global Management",Series A,2960000.0,2022-04-09,recent_2020_2025,2022,Fintech
ShareChat,Media,Streaming,Chennai,Nexus Venture Partners,Series C,91037000.0,2020-06-28,recent_2020_2025,2020,Media
FinFoods,Fintech,Lending,Bengaluru,Ribbit Capital,Seed,89000.0,2023-08-21,recent_2020_2025,2023,Fintech
DriveEdge,Enterprise,Automation,Gurugram,"Kalaari Capital, Nexus Venture Partners",Seed,98000.0,2024-04-25,recent_2020_2025,2024,Enterprise
Porter,Healthtech,Diagnostics,Kolkata,IFC,Bridge,1201000.0,2022-08-23,recent_2020_2025,2022,Healthtech
HomeMart,Agritech,Smart Farming,Bengaluru,"IFC, Info Edge, Kalaari Capital",Seed,1639000.0,2020-07-29,recent_2020_2025,2020,Agritech
NimbusLabs,Agritech,Marketplace,Noida,"Falcon Edge, Kalaari Capital",Debt,1018000.0,2020-03-16,recent_2020_2025,2020,Agritech
Myntra,Edtech,Test Prep,Noida,A91 Partners,Pre-Seed,37000.0,2023-03-26,recent_2020_2025,2023,Edtech
NextStack,Foodtech,Food Delivery,Mumbai,"Kedaara Capital, Sequoia Capital India, Y Combinator",Series A,5720000.0,2025-04-06,recent_2020_2025,2025,Foodtech
SmartTech,Consumer Electronics,Wearables,Kolkata,"LCatterton, SoftBank Vision Fund",Seed,226000.0,2021-03-25,recent_2020_2025,2021,Consumer Electronics
InMobi,Healthtech,Pharmacy,Chennai,"Mirae Asset, Ribbit Capital, Y Combinator",Bridge,55000.0,2024-09-02,recent_2020_2025,2024,Healthtech
BharatPe,Agritech,Supply Chain,Hyderabad,"Blume Ventures, Mirae Asset",Series B,7709000.0,2020-06-25,recent_2020_2025,2020,Agritech
NeoLabs,Foodtech,Food Delivery,Hyderabad,Tiger Global Management,Seed,701000.0,2023-02-14,recent_2020_2025,2023,Foodtech
Licious,Logistics,Supply Chain,Delhi,"Sequoia Capital India, Tiger Global",Seed,568000.0,2024-10-26,recent_2020_2025,2024,Logistics
Paytm,E-Commerce,Grocery,Gurugram,"Matrix Partners India, SoftBank Vision Fund",Seed,55000.0,2021-04-03,recent_2020_2025,2021,Ecommerce
AgriFit,Retail,Fashion,Hyderabad,"Accel, IFC, Omidyar Network",Angel,10000.0,2024-10-13,recent_2020_2025,2024,Retail
Postman,Consumer Electronics,Wearables,Mumbai,"IFC, Omidyar Network",Bridge,117000.0,2024-05-19,recent_2020_2025,2024,Consumer Electronics
Zomato,Enterprise,Automation,Bengaluru,"Lightspeed India, Nexus Venture Partners, Y Combinator",Series A,6169000.0,2020-12-08,recent_2020_2025,2020,Enterprise
Cars24,Media,Content,Noida,Blume Ventures,Series A,1055000.0,2024-11-17,recent_2020_2025,2024,Media
Mobikwik,Saas,DevTools,Mumbai,"Sequoia Capital India, Ventures India",Series D,63545000.0,2022-06-18,recent_2020_2025,2022,SaaS
FarmBox,Mobility,Ride Sharing,Mumbai,"Prosus Ventures, Y Combinator",Seed,956000.0,2024-01-04,recent_2020_2025,2024,Mobility
WorkPay,Mobility,EV,Gurugram,LCatterton,Seed,97000.0,2022-05-28,recent_2020_2025,2022,Mobility
ShareChat,Fintech,InsurTech,Delhi,"Accel, Peak XV",Series C,117144000.0,2024-01-09,recent_2020_2025,2024,Fintech
HyperLabs,Retail,E-Retail,Chennai,Prosus Ventures,Seed,120000.0,2024-04-03,recent_2020_2025,2024,Retail
WorkPay,Fintech,NeoBank,Hyderabad,"IFC, Kedaara Capital",Pre-Series A,126000.0,2024-12-19,recent_2020_2025,2024,Fintech
HyperLabs,Fintech,WealthTech,Noida,"Kalaari Capital, LCatterton, Ribbit Capital",Series A,1932000.0,2020-10-27,recent_2020_2025,2020,Fintech
Ola,Media,Content,Chennai,Accel,Series C,141411000.0,2024-12-09,recent_2020_2025,2024,Media
WorkStack,Media,Streaming,Delhi,Lightspeed India,Series A,10148000.0,2023-01-12,recent_2020_2025,2023,Media
FreshTech,Retail,Fashion,Delhi,"Matrix Partners India, Omidyar Network",Pre-Seed,135000.0,2024-12-28,recent_2020_2025,2024,Retail
Oyo,Media,Content,Noida,Matrix Partners India,Seed,216000.0,2020-05-02,recent_2020_2025,2020,Media
ClearDekho,Saas,B2B SaaS,Bengaluru,Info Edge,Series C,122112000.0,2025-04-11,recent_2020_2025,2025,SaaS
MediHive,Edtech,K12,Pune,"A91 Partners, Nexus Venture Partners, Y Combinator",Seed,107000.0,2023-09-27,recent_2020_2025,2023,Edtech
LogiMart,Mobility,Micro Mobility,Gurugram,"Accel, Kedaara Capital",Series C,44238000.0,2022-01-09,recent_2020_2025,2022,Mobility
Flipkart,E-Commerce,Quick Commerce,Bengaluru,"Accel, Lightspeed India",Pre-Series A,788000.0,2020-09-23,recent_2020_2025,2020,Ecommerce
CoreConnect,Mobility,EV,Hyderabad,"Prosus Ventures, Tiger Global Management",Series A,1036000.0,2023-07-27,recent_2020_2025,2023,Mobility
NeoLabs,Foodtech,Cloud Kitchen,Delhi,"Falcon Edge, Info Edge, Tiger Global Management",Series A,1261000.0,2022-09-19,recent_2020_2025,2022,Foodtech
Housejoy,Media,Social,Kolkata,Peak XV,Series A,1756000.0,2024-03-08,recent_2020_2025,2024,Media
Nykaa,E-Commerce,Grocery,Chennai,"Elevation Capital, Falcon Edge",Seed,55000.0,2022-01-26,recent_2020_2025,2022,Ecommerce
Housejoy,Saas,HRTech,Pune,Bessemer Venture Partners,Seed,98000.0,2022-09-22,recent_2020_2025,2022,SaaS
SmartCare,Foodtech,Cloud Kitchen,Hyderabad,Zodius Capital,Private Equity,382861000.0,2021-03-17,recent_2020_2025,2021,Foodtech
NeoLabs_904,Mobility,EV,Mumbai,A91 Partners,Growth,152047000.0,2022-05-05,recent_2020_2025,2022,Mobility
BlueSpace,Consumer Electronics,Smart Home,Ahmedabad,"Ribbit Capital, Ventures India",Seed,1346000.0,2020-10-10,recent_2020_2025,2020,Consumer Electronics
EduMart,Media,Content,Mumbai,"Kalaari Capital, Matrix Partners India",Series C,182986000.0,2023-09-22,recent_2020_2025,2023,Media
AutoMart,Fintech,InsurTech,Hyderabad,Kedaara Capital,Series B,12899000.0,2024-11-08,recent_2020_2025,2024,Fintech
FreshTech,E-Commerce,Grocery,Mumbai,"A91 Partners, Tiger Global",Seed,130000.0,2023-06-21,recent_2020_2025,2023,Ecommerce
FinFoods,Mobility,Ride Sharing,Mumbai,Tiger Global Management,Series B,14327000.0,2022-12-25,recent_2020_2025,2022,Mobility
SkillSolutions,Edtech,Coding Bootcamp,Mumbai,Kalaari Capital,Series C,98917000.0,2023-05-27,recent_2020_2025,2023,Edtech
FarmFit,Fintech,WealthTech,Chennai,"Matrix Partners India, SoftBank Vision Fund",Seed,134000.0,2020-02-19,recent_2020_2025,2020,Fintech
Porter,E-Commerce,Grocery,Delhi,Ventures India,Seed,500000.0,2021-01-09,recent_2020_2025,2021,Ecommerce
HyperLoop,Foodtech,Grocery,Delhi,Blume Ventures,Seed,226000.0,2025-05-22,recent_2020_2025,2025,Foodtech
NimbusMart,E-Commerce,D2C,Delhi,Y Combinator,Pre-Series A,356000.0,2021-10-25,recent_2020_2025,2021,Ecommerce
Housejoy,Fintech,Lending,Gurugram,Mirae Asset,Series C,65156000.0,2023-04-15,recent_2020_2025,2023,Fintech
ClearDekho,Foodtech,Cloud Kitchen,Hyderabad,"Kalaari Capital, Mirae Asset",Seed,148000.0,2022-08-09,recent_2020_2025,2022,Foodtech
Freshworks,Realestate,PropTech,Bengaluru,"Matrix Partners India, Prosus Ventures",Seed,1654000.0,2025-05-27,recent_2020_2025,2025,Real Estate
FreshSolutions,Foodtech,Food Delivery,Mumbai,Bessemer Venture Partners,Series D,290119000.0,2022-10-21,recent_2020_2025,2022,Foodtech
SmartCare,Healthtech,Diagnostics,Noida,"Info Edge, Sequoia Capital India",Bridge,84000.0,2025-05-22,recent_2020_2025,2025,Healthtech
SmartMart,Agritech,Smart Farming,Delhi,"Elevation Capital, Matrix Partners India",Pre-Seed,148000.0,2025-03-26,recent_2020_2025,2025,Agritech
QuantumAnalytics,Enterprise,Automation,Gurugram,Tiger Global,Series A,3743000.0,2022-11-11,recent_2020_2025,2022,Enterprise
CRED,Logistics,Last Mile,Chennai,Kedaara Capital,Series B,59720000.0,2024-08-27,recent_2020_2025,2024,Logistics
QuantumSolutions,Edtech,UpSkilling,Pune,"Info Edge, Matrix Partners India, Tiger Global Management",Series B,45929000.0,2025-06-29,recent_2020_2025,2025,Edtech
DataHive,Agritech,Smart Farming,Bengaluru,"LCatterton, Omidyar Network, Sequoia Capital India",Angel,18000.0,2020-09-30,recent_2020_2025,2020,Agritech
MediSpace,Foodtech,Grocery,Kolkata,Bessemer Venture Partners,Series C,21255000.0,2023-01-07,recent_2020_2025,2023,Foodtech
Dunzo,Mobility,Ride Sharing,Kolkata,"Y Combinator, Zodius Capital",Series B,10531000.0,2021-12-23,recent_2020_2025,2021,Mobility
EduTech,Retail,Fashion,Bengaluru,Info Edge,Seed,369000.0,2022-01-28,recent_2020_2025,2022,Retail
HomeAnalytics,Retail,Grocery,Pune,"Ribbit Capital, Zodius Capital",Seed,517000.0,2024-07-29,recent_2020_2025,2024,Retail
HomeAnalytics,Consumer Electronics,Wearables,Bengaluru,"Kedaara Capital, Lightspeed India",Seed,129000.0,2025-01-26,recent_2020_2025,2025,Consumer Electronics
AutoMart,Logistics,Fleet Management,Noida,Prosus Ventures,Series A,1458000.0,2023-02-04,recent_2020_2025,2023,Logistics
NoBroker,E-Commerce,Grocery,Delhi,Peak XV,Series B,50620000.0,2020-09-17,recent_2020_2025,2020,Ecommerce
HomeFoods,Media,Content,Gurugram,"Omidyar Network, Prosus Ventures",Series D,482361000.0,2020-02-17,recent_2020_2025,2020,Media
AutoFlow_933,Foodtech,Grocery,Bengaluru,"Kalaari Capital, Zodius Capital",Series D,167749000.0,2021-10-23,recent_2020_2025,2021,Foodtech
NeoTech,Consumer Electronics,Wearables,Pune,"Elevation Capital, Kalaari Capital, Lightspeed India",Series A,1592000.0,2020-03-30,recent_2020_2025,2020,Consumer Electronics
EduMart,Foodtech,Cloud Kitchen,Pune,Tiger Global Management,Seed,137000.0,2023-03-17,recent_2020_2025,2023,Foodtech
Zepto,Media,Content,Mumbai,SoftBank Vision Fund,Angel,5000.0,2021-02-07,recent_2020_2025,2021,Media
Byju's,Realestate,Rental Tech,Mumbai,Omidyar Network,Pre-Seed,164000.0,2022-06-03,recent_2020_2025,2022,Real Estate
WorkStack,Edtech,Test Prep,Kolkata,Zodius Capital,Seed,77000.0,2021-11-28,recent_2020_2025,2021,Edtech
FinSpace,Retail,Fashion,Ahmedabad,"Info Edge, Nexus Venture Partners, Tiger Global Management",Series A,4765000.0,2020-07-14,recent_2020_2025,2020,Retail
GreenMart,Enterprise,Automation,Mumbai,"Omidyar Network, Tiger Global",Series C,42009000.0,2020-05-06,recent_2020_2025,2020,Enterprise
Paytm,E-Commerce,Quick Commerce,Bengaluru,"Kalaari Capital, Ribbit Capital",Series A,4485000.0,2021-08-26,recent_2020_2025,2021,Ecommerce
Flipkart,Edtech,Test Prep,Kolkata,"IFC, Ribbit Capital",Pre-Series A,448000.0,2024-06-16,recent_2020_2025,2024,Edtech
BlueSpace,Realestate,PropTech,Kolkata,Accel,Series A,9459000.0,2023-04-18,recent_2020_2025,2023,Real Estate
UrbanStack,E-Commerce,Grocery,Gurugram,"Falcon Edge, Mirae Asset, Y Combinator",Angel,9000.0,2020-09-15,recent_2020_2025,2020,Ecommerce
Ola,Healthtech,Diagnostics,Delhi,SoftBank Vision Fund,Series C,20605000.0,2020-05-03,recent_2020_2025,2020,Healthtech
DriveEdge,Realestate,Home Services,Hyderabad,Nexus Venture Partners,Series A,1449000.0,2023-01-13,recent_2020_2025,2023,Real Estate
FreshTech,Logistics,Supply Chain,Bengaluru,"Matrix Partners India, Nexus Venture Partners, Zodius Capital",Series A,11442000.0,2023-09-08,recent_2020_2025,2023,Logistics
Udaan,Foodtech,Food Delivery,Gurugram,Bessemer Venture Partners,Bridge,1256000.0,2023-08-04,recent_2020_2025,2023,Foodtech
DataHive,Consumer Electronics,Smart Home,Kolkata,"A91 Partners, SoftBank Vision Fund",Series A,5042000.0,2021-11-09,recent_2020_2025,2021,Consumer Electronics
Delhivery,Foodtech,Food Delivery,Delhi,Mirae Asset,Seed,458000.0,2024-11-29,recent_2020_2025,2024,Foodtech
Rapido,Realestate,PropTech,Gurugram,Mirae Asset,Series A,6055000.0,2021-03-12,recent_2020_2025,2021,Real Estate
FreshBox,Foodtech,Cloud Kitchen,Chennai,Sequoia Capital India,Seed,95000.0,2020-01-14,recent_2020_2025,2020,Foodtech
Licious,Fintech,NeoBank,Mumbai,Ribbit Capital,Seed,1459000.0,2022-06-20,recent_2020_2025,2022,Fintech
ShareChat,Fintech,Payments,Gurugram,LCatterton,Seed,234000.0,2020-12-22,recent_2020_2025,2020,Fintech
NoBroker,Saas,DevTools,Delhi,LCatterton,Seed,205000.0,2020-12-26,recent_2020_2025,2020,SaaS
DataAnalytics,Healthtech,Health Analytics,Mumbai,Info Edge,Seed,339000.0,2021-03-06,recent_2020_2025,2021,Healthtech
Nykaa,Retail,Grocery,Delhi,IFC,Bridge,59000.0,2025-06-24,recent_2020_2025,2025,Retail
Byju's,E-Commerce,Marketplace,Delhi,Y Combinator,Series C,31376000.0,2021-01-27,recent_2020_2025,2021,Ecommerce
DriveLoop,Edtech,Test Prep,Ahmedabad,"Elevation Capital, Nexus Venture Partners",Series A,7379000.0,2024-10-15,recent_2020_2025,2024,Edtech
LogiMart_960,Retail,Grocery,Delhi,"LCatterton, Lightspeed India",Series D,60502000.0,2025-06-06,recent_2020_2025,2025,Retail
HealthRise,Retail,Fashion,Ahmedabad,"Ribbit Capital, Ventures India",Seed,463000.0,2022-11-07,recent_2020_2025,2022,Retail
NimbusWorks,Consumer Electronics,Audio,Pune,"Mirae Asset, Peak XV",Series B,9872000.0,2022-12-12,recent_2020_2025,2022,Consumer Electronics
FoodFit,Retail,Fashion,Bengaluru,Info Edge,Seed,210000.0,2025-01-06,recent_2020_2025,2025,Retail
FinSpace,Logistics,Supply Chain,Chennai,Matrix Partners India,Series A,2185000.0,2025-03-30,recent_2020_2025,2025,Logistics
WorkFit,E-Commerce,D2C,Kolkata,"Falcon Edge, Tiger Global",Series A,2620000.0,2021-04-16,recent_2020_2025,2021,Ecommerce
BlueSpace,Consumer Electronics,Wearables,Chennai,Elevation Capital,Pre-Series A,524000.0,2022-10-15,recent_2020_2025,2022,Consumer Electronics
GrowthFlow,Edtech,UpSkilling,Mumbai,Zodius Capital,Pre-Series A,198000.0,2020-06-17,recent_2020_2025,2020,Edtech
HealthRise,Edtech,Test Prep,Mumbai,Lightspeed India,Seed,404000.0,2020-03-19,recent_2020_2025,2020,Edtech
FreshBox,Media,Streaming,Hyderabad,Tiger Global Management,Seed,289000.0,2023-05-22,recent_2020_2025,2023,Media
Swiggy,Fintech,WealthTech,Hyderabad,"Peak XV, Zodius Capital",Series C,120661000.0,2024-05-22,recent_2020_2025,2024,Fintech
UrbanStack,Mobility,Ride Sharing,Chennai,"Lightspeed India, Matrix Partners India, Omidyar Network",Seed,1584000.0,2024-01-21,recent_2020_2025,2024,Mobility
InMobi,Media,Content,Pune,Info Edge,Series C,145412000.0,2021-10-03,recent_2020_2025,2021,Media
SkillRise,Consumer Electronics,Smart Home,Bengaluru,Elevation Capital,Pre-Series A,164000.0,2023-03-28,recent_2020_2025,2023,Consumer Electronics
MediSpace,Realestate,Home Services,Pune,"Prosus Ventures, Ventures India",Seed,56000.0,2022-05-21,recent_2020_2025,2022,Real Estate
Delhivery,Saas,B2B SaaS,Ahmedabad,Nexus Venture Partners,Series C,40689000.0,2025-03-03,recent_2020_2025,2025,SaaS
FreshBox,Retail,Fashion,Ahmedabad,"Kalaari Capital, Lightspeed India",Series A,5010000.0,2022-03-11,recent_2020_2025,2022,Retail
AeroHub,E-Commerce,D2C,Ahmedabad,Accel,Bridge,60000.0,2023-08-01,recent_2020_2025,2023,Ecommerce
Zomato,Realestate,Rental Tech,Delhi,"Blume Ventures, Mirae Asset",Pre-Seed,63000.0,2023-11-12,recent_2020_2025,2023,Real Estate
CRED,Foodtech,Food Delivery,Gurugram,Tiger Global,Seed,452000.0,2023-09-12,recent_2020_2025,2023,Foodtech
MediSpace,Enterprise,Security,Chennai,Falcon Edge,Seed,172000.0,2020-08-14,recent_2020_2025,2020,Enterprise
GrowthCare,Foodtech,Cloud Kitchen,Delhi,"Prosus Ventures, Zodius Capital",Growth,382414000.0,2021-09-26,recent_2020_2025,2021,Foodtech
NextSense,Logistics,Fleet Management,Gurugram,"Elevation Capital, Sequoia Capital India",Series A,1335000.0,2023-11-03,recent_2020_2025,2023,Logistics
SmartCare,Enterprise,Security,Ahmedabad,LCatterton,Series C,24513000.0,2022-12-12,recent_2020_2025,2022,Enterprise
NeoLabs,Agritech,Supply Chain,Mumbai,"Y Combinator, Zodius Capital",Seed,734000.0,2024-12-09,recent_2020_2025,2024,Agritech
Delhivery,Foodtech,Grocery,Delhi,"Info Edge, Ventures India",Pre-Series A,313000.0,2021-01-02,recent_2020_2025,2021,Foodtech
BlueTech,E-Commerce,Fashion,Bengaluru,Elevation Capital,Seed,634000.0,2024-11-17,recent_2020_2025,2024,Ecommerce
Cars24,Realestate,PropTech,Gurugram,"Nexus Venture Partners, Y Combinator",Angel,18000.0,2022-04-22,recent_2020_2025,2022,Real Estate
Zomato,Mobility,EV,Chennai,Falcon Edge,Series A,1949000.0,2021-06-01,recent_2020_2025,2021,Mobility
SmartMart_989,Realestate,Rental Tech,Kolkata,"IFC, Kalaari Capital",Pre-Series A,659000.0,2024-03-07,recent_2020_2025,2024,Real Estate
MediSpace,Media,Social,Pune,"Accel, Info Edge",Series B,45874000.0,2022-08-08,recent_2020_2025,2022,Media
HomeMart,Consumer Electronics,Audio,Kolkata,Blume Ventures,Series C,131237000.0,2024-09-19,recent_2020_2025,2024,Consumer Electronics
PhonePe,Agritech,Supply Chain,Delhi,"Accel, Kalaari Capital, Ventures India",Seed,136000.0,2022-12-30,recent_2020_2025,2022,Agritech
SkillFlow,Saas,DevTools,Gurugram,"Falcon Edge, Info Edge, Tiger Global",Series B,25685000.0,2025-01-02,recent_2020_2025,2025,SaaS
Zomato,Foodtech,Grocery,Hyderabad,Tiger Global,Series A,2658000.0,2023-05-10,recent_2020_2025,2023,Foodtech
UrbanSolutions,Edtech,UpSkilling,Gurugram,Sequoia Capital India,Seed,70000.0,2020-02-02,recent_2020_2025,2020,Edtech
CloudLabs,E-Commerce,Marketplace,Mumbai,"Blume Ventures, Kalaari Capital",Series C,239814000.0,2024-08-27,recent_2020_2025,2024,Ecommerce
AeroStack,Saas,DevTools,Ahmedabad,"Nexus Venture Partners, Peak XV",Seed,83000.0,2023-01-14,recent_2020_2025,2023,SaaS
Meesho,E-Commerce,D2C,Pune,"Info Edge, Kalaari Capital, SoftBank Vision Fund",Seed,1665000.0,2022-04-03,recent_2020_2025,2022,Ecommerce
